Postal Code,District names,Neighborhood,Borough,Latitude,Longitude
1010,Várkerület ,I.,Buda,47.4991627,19.0351431
1020,2nd district ,II.,Buda,47.538887,18.9826357
1030,Óbuda-Békásmegyer ,III.,Buda,47.5676107,19.0367797
1040,Újpest ,IV.,Pest,47.5586874,19.0796619
1050,Belváros-Lipótváros ,V.,Pest,47.4999448,19.0505488
1060,Terézváros ,VI.,Pest,47.5085165,19.0651215
1070,Erzsébetváros ,VII.,Pest,47.5021317,19.0729096
1080,Józsefváros ,VIII.,Pest,47.4905952,19.0873404
1090,Ferencváros ,IX.,Pest,47.4653558,19.0903564
1100,K?bánya ,X.,Pest,47.4822351,19.1564941
1110,Újbuda ,XI.,Buda,47.467215,19.0275212
1120,Hegyvidék ,XII.,Buda,47.5002133,18.9855917
1130,Angyalföld-Újlipótváros-Vizafogó ,XIII.,Pest,47.54354555,19.07081977
1140,Zugló ,XIV.,Pest,47.52300395,19.11451267
1150,Rákospalota-Pestújhely-Újpalota ,XV.,Pest,47.5416245,19.1299954
1160,16th district ,XVI.,Pest,47.5183113,19.2043711
1170,Rákosmente ,XVII.,Pest,47.4758295,19.2694065
1180,Pestszentl?rinc-Pestszentimre ,XVIII.,Pest,47.4303287,19.2018647
1190,Kispest ,XIX.,Pest,47.4484411,19.1465176
1200,Pesterzsébet ,XX.,Pest,47.4333961,19.1209209
1210,Csepel ,XXI.,Csepel,47.424317,19.06921382
1220,Budafok-Tétény ,XXII.,Buda,47.4117905,19.010826
1230,Soroksár ,XXIII.,Pest,47.4025482,19.1184601
